contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
SPXW260130C05240000,2026-01-27 20:50:18+00:00,5240.0,1745.2,1697.6,1699.0,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05250000,2026-01-27 20:56:39+00:00,5250.0,1731.79,1687.6,1689.0,0.0,0.0,2.0,20.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05260000,2026-01-27 20:46:40+00:00,5260.0,1725.71,1677.6,1679.0,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05270000,2026-01-27 20:56:39+00:00,5270.0,1711.72,1667.6,1669.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05275000,2025-11-18 20:43:12+00:00,5275.0,1421.52,1653.1,1671.7,0.0,0.0,,82.0,2.6556430093383794,True,REGULAR,USD,call,2026-01-30
SPXW260130C05280000,2026-01-27 20:46:40+00:00,5280.0,1705.7,1658.2,1659.8,0.0,0.0,1.0,1.0,1.9677735986328124,True,REGULAR,USD,call,2026-01-30
SPXW260130C05290000,2025-11-18 20:47:44+00:00,5290.0,1404.64,1638.0,1656.0,0.0,0.0,,159.0,2.592166605529785,True,REGULAR,USD,call,2026-01-30
SPXW260130C05300000,2026-01-29 16:55:38+00:00,5300.0,1610.58,1637.8,1639.5,0.0,0.0,16.0,1.0,1.8486335693359375,True,REGULAR,USD,call,2026-01-30
SPXW260130C05310000,2025-11-18 21:01:45+00:00,5310.0,1366.72,1618.3,1636.9,0.0,0.0,,2.0,2.6111484916687013,True,REGULAR,USD,call,2026-01-30
SPXW260130C05325000,2026-01-22 20:08:43+00:00,5325.0,1593.85,1612.6,1614.1,0.0,0.0,5.0,5.0,1.54297103515625,True,REGULAR,USD,call,2026-01-30
