
expiry: 2026-02-06  forward: 6940.52  df: 0.9987
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 6945.0   52.200 15.35   56.650 15.34            0.01
 6950.0   49.300 15.20   58.750 15.19            0.01
 6955.0   46.450 15.04   60.850 15.03            0.02
 6960.0   43.700 14.89   63.100 14.88            0.02
 6965.0   41.000 14.74   65.450 14.74           -0.00
 6970.0   38.400 14.58   67.800 14.57            0.01
 6975.0   35.850 14.42   70.250 14.41            0.01
 6980.0   33.400 14.26   72.850 14.27           -0.01
 6985.0   31.000 14.09   75.450 14.10           -0.01
 6990.0   28.800 13.96   78.150 13.94            0.02
 6995.0   26.600 13.79   80.950 13.78            0.02
 7000.0   24.500 13.63   83.850 13.62            0.02
 7005.0   22.500 13.48   87.000 13.51           -0.03
 7010.0   20.550 13.30   90.100 13.36           -0.05
 7015.0   18.750 13.15   93.350 13.22           -0.07
 7020.0   17.050 12.99   96.500 13.02           -0.03
 7025.0   15.400 12.82  100.050 12.93           -0.10
 7030.0   13.850 12.66  103.250 12.67           -0.01
 7035.0   12.450 12.51  107.050 12.61           -0.10
 7040.0   11.050 12.32  110.450 12.34           -0.02
 7045.0    9.750 12.14  114.200 12.18           -0.05
 7050.0    8.600 11.97      NaN   NaN             NaN
 7055.0    7.550 11.82      NaN   NaN             NaN
 7060.0    6.550 11.64      NaN   NaN             NaN
 7065.0    5.650 11.46      NaN   NaN             NaN
 7070.0    4.850 11.30      NaN   NaN             NaN
 7075.0    4.100 11.11      NaN   NaN             NaN
 7080.0    3.400 10.90      NaN   NaN             NaN
 7085.0    2.950 10.83      NaN   NaN             NaN
 7090.0    2.450 10.66      NaN   NaN             NaN
 7095.0    2.050 10.54      NaN   NaN             NaN
 7100.0    1.700 10.41      NaN   NaN             NaN
 7105.0    1.400 10.29      NaN   NaN             NaN
 7110.0    1.125 10.14      NaN   NaN             NaN
 7115.0    0.900 10.00      NaN   NaN             NaN
 7120.0    0.750  9.94      NaN   NaN             NaN
 7125.0    0.625  9.89      NaN   NaN             NaN
 7130.0    0.500  9.79      NaN   NaN             NaN
 7135.0    0.400  9.70      NaN   NaN             NaN
 7140.0    0.325  9.64      NaN   NaN             NaN
 7145.0    0.275  9.64      NaN   NaN             NaN
 7150.0    0.225  9.61      NaN   NaN             NaN
 7155.0    0.200  9.67      NaN   NaN             NaN
 7160.0    0.175  9.71      NaN   NaN             NaN
 7165.0    0.150  9.73      NaN   NaN             NaN
 7170.0    0.150  9.92      NaN   NaN             NaN
 7175.0    0.125  9.91      NaN   NaN             NaN
 7180.0    0.125 10.10      NaN   NaN             NaN
 7210.0    0.100 10.95      NaN   NaN             NaN

expiry: 2026-02-13  forward: 6944.26  df: 0.9976
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 6250.0  696.050 28.62     3.40 28.58            0.04
 6260.0      NaN   NaN     3.55 28.41             NaN
 6270.0      NaN   NaN     3.65 28.17             NaN
 6275.0  671.250 27.88     3.70 28.05           -0.16
 6280.0      NaN   NaN     3.75 27.92             NaN
 6290.0      NaN   NaN     3.85 27.67             NaN
 6300.0  646.800 27.55     4.00 27.48            0.07
 6310.0      NaN   NaN     4.10 27.22             NaN
 6320.0      NaN   NaN     4.25 27.01             NaN
 6325.0      NaN   NaN     4.30 26.88             NaN
 6330.0      NaN   NaN     4.40 26.80             NaN
 6340.0      NaN   NaN     4.55 26.57             NaN
 6350.0  597.550 26.34     4.70 26.34           -0.01
 6360.0      NaN   NaN     4.90 26.16             NaN
 6370.0      NaN   NaN     5.15 26.01             NaN
 6375.0      NaN   NaN     5.10 25.77             NaN
 6380.0      NaN   NaN     5.35 25.81             NaN
 6390.0      NaN   NaN     5.55 25.59             NaN
