
expiry: 2026-02-06  forward: 6940.52  df: 0.9987
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 7060.0   32.000 11.55   147.80 12.10           -0.55
 7065.0   30.250 11.48   148.40 11.54           -0.07
 7070.0   30.700 11.80   151.55 11.44            0.36
 7075.0   26.800 11.29   157.60 11.88           -0.59
 7080.0   25.250 11.22   160.75 11.76           -0.54
 7085.0   23.750 11.15   161.85 11.22           -0.08
 7090.0   24.300 11.48   167.90 11.66           -0.18
 7095.0   20.850 10.98   171.45 11.59           -0.61
 7100.0   19.550 10.91   174.80 11.47           -0.55
 7105.0   20.150 11.26   178.50 11.41           -0.15
 7110.0   17.100 10.78      NaN   NaN             NaN
 7115.0   17.700 11.12      NaN   NaN             NaN
 7120.0   14.850 10.63      NaN   NaN             NaN
 7125.0   13.750 10.55      NaN   NaN             NaN
 7130.0   14.450 10.92      NaN   NaN             NaN
 7135.0   13.450 10.85      NaN   NaN             NaN
 7140.0   12.600 10.81      NaN   NaN             NaN
 7145.0   10.200 10.31      NaN   NaN             NaN
 7150.0   10.850 10.68      NaN   NaN             NaN
 7155.0   10.100 10.63      NaN   NaN             NaN
 7160.0    9.350 10.57      NaN   NaN             NaN
 7165.0    7.600 10.15      NaN   NaN             NaN
 7170.0    7.000 10.10      NaN   NaN             NaN
 7175.0    6.400 10.04      NaN   NaN             NaN
 7180.0    6.900 10.39      NaN   NaN             NaN
 7185.0    5.450  9.96      NaN   NaN             NaN
 7190.0    5.000  9.92      NaN   NaN             NaN
 7195.0    4.650  9.91      NaN   NaN             NaN
 7200.0    4.250  9.86      NaN   NaN             NaN
 7205.0    4.650 10.21      NaN   NaN             NaN
 7210.0    4.250 10.16      NaN   NaN             NaN
 7215.0    3.275  9.77      NaN   NaN             NaN
 7220.0    3.000  9.74      NaN   NaN             NaN
 7225.0    3.400 10.12      NaN   NaN             NaN
 7230.0    3.125 10.10      NaN   NaN             NaN
 7235.0    2.325  9.68      NaN   NaN             NaN
 7240.0    2.125  9.66      NaN   NaN             NaN
 7245.0    2.450 10.04      NaN   NaN             NaN
 7250.0    2.300 10.06      NaN   NaN             NaN
 7255.0    2.075 10.01      NaN   NaN             NaN
 7260.0    1.550  9.66      NaN   NaN             NaN
 7265.0    1.800 10.03      NaN   NaN             NaN
 7270.0    1.350  9.69   418.35 33.38          -23.68
 7275.0    1.200  9.64      NaN   NaN             NaN
 7280.0    1.425 10.02      NaN   NaN             NaN
 7285.0    1.075  9.72      NaN   NaN             NaN
 7290.0    1.275 10.09      NaN   NaN             NaN
 7295.0    1.150 10.06      NaN   NaN             NaN
 7300.0    1.075 10.08      NaN   NaN             NaN
 7305.0    0.800  9.77      NaN   NaN             NaN
 7310.0    0.750  9.80      NaN   NaN             NaN
 7315.0    0.700  9.82      NaN   NaN             NaN
 7320.0    0.825 10.16   459.40 34.09          -23.93
 7325.0    0.600  9.85      NaN   NaN             NaN
 7330.0    0.575  9.90      NaN   NaN             NaN
 7340.0    0.650 10.28      NaN   NaN             NaN
 7350.0    0.450 10.03      NaN   NaN             NaN
 7360.0    0.500 10.37      NaN   NaN             NaN
 7370.0    0.375 10.23      NaN   NaN             NaN
 7375.0    0.375 10.33      NaN   NaN             NaN
 7380.0    0.325 10.26      NaN   NaN             NaN
 7390.0    0.325 10.47      NaN   NaN             NaN
 7400.0    0.275 10.47      NaN   NaN             NaN
 7410.0    0.275 10.67      NaN   NaN             NaN
 7420.0    0.275 10.87      NaN   NaN             NaN
 7425.0    0.275 10.97      NaN   NaN             NaN
 7430.0    0.275 11.07      NaN   NaN             NaN
 7440.0    0.225 11.03      NaN   NaN             NaN
 7450.0    0.225 11.22      NaN   NaN             NaN
 7460.0    0.225 11.41      NaN   NaN             NaN
 7470.0    0.175 11.31      NaN   NaN             NaN
 7475.0    0.175 11.40      NaN   NaN             NaN
 7480.0    0.175 11.50      NaN   NaN             NaN
 7490.0    0.175 11.68      NaN   NaN             NaN
 7525.0      NaN   NaN   644.00 38.64             NaN
 7530.0    0.150 12.24      NaN   NaN             NaN

ATM vol summary:
    expiry forward     df  atm_strike  c_iv  p_iv c_iv_minus_p_iv
2026-02-06 6940.52 0.9987        6940 15.50 15.49            0.01
2026-02-13 6944.26 0.9976        6945 14.41 14.41           -0.00
2026-02-20 6946.92 0.9974        6945 13.71 13.74           -0.03
